Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces
Scarecrow,2219,0.069,65,28,American IPA,16
Ironman,2218,0.09,50,28,English Strong Ale,16
Honey Kolsch,2217,0.046,15,28,Kölsch,16
Copperhead Amber,2216,0.052,18,28,Belgian Dark Ale,16
Rude Parrot IPA,972,0.059,75,482,American IPA,16
British Pale Ale (2010),866,0.054,30,482,English Pale Ale,16
British Pale Ale,48,0.054,30,482,English Pale Ale,16
Ballz Deep Double IPA,47,0.084,82,482,American Double / Imperial IPA,16
Wolfman's Berliner,1583,0.038,,374,Berliner Weissbier,12
Colorado Native,1165,0.055,26,463,American Amber / Red Lager,12
Colorado Native (2011),431,0.055,26,463,American Amber / Red Lager,12
Jockamo IPA,516,0.065,52,534,American IPA,12
Purple Haze,515,0.042,13,534,Fruit / Vegetable Beer,12
Abita Amber,514,0.045,17,534,American Amber / Red Lager,12
Citra Ass Down,2540,0.082,68,63,American IPA,16
The Brown Note,2539,0.05,20,63,American Brown Ale,16
Citra Ass Down,2686,0.08,68,2,American Double / Imperial IPA,16
London Balling,2685,0.125,80,2,English Barleywine,16
35 K,2684,0.077,25,2,Milk / Sweet Stout,16
A Beer,2683,0.042,42,2,American Pale Ale (APA),16
Rules are Rules,2682,0.05,25,2,German Pilsener,16
Flesh Gourd'n,2681,0.066,21,2,Pumpkin Ale,16
Sho'nuff,2680,0.04,13,2,Belgian Pale Ale,16
Bloody Show,2679,0.055,17,2,American Pilsner,16
Rico Sauvin,2678,0.076,68,2,American Double / Imperial IPA,16
Coq de la Marche,2677,0.051,38,2,Saison / Farmhouse Ale,16
Kamen Knuddeln,2676,0.065,,2,American Wild Ale,16
Pile of Face,2675,0.06,65,2,American IPA,16
The Brown Note,2674,0.05,20,2,English Brown Ale,16
Maylani's Coconut Stout,1594,0.053,35,368,American Stout,16
Oatmeal PSA,1162,0.05,35,368,American Pale Ale (APA),16
Pre Flight Pilsner,1137,0.052,33,368,American Pilsner,16
P-Town Pilsner,2403,0.04,20,118,American Pilsner,12
Klickitat Pale Ale,2402,0.053,36,118,American Pale Ale (APA),12
Yellow Wolf Imperial IPA,2401,0.082,103,118,American Double / Imperial IPA,12
Freeride APA,1921,0.053,40,271,American Pale Ale (APA),12
Alaskan Amber,1920,0.053,18,271,Altbier,12
Hopalicious,2501,0.057,,74,American Pale Ale (APA),12
Kentucky Kölsch,1535,0.043,,389,Kölsch,16
Kentucky IPA,1149,0.065,,389,American IPA,16
Dusty Trail Pale Ale,1474,0.054,,402,American Pale Ale (APA),16
Damnesia,1473,0.062,,402,American IPA,16
Desolation IPA,837,0.062,43,402,American IPA,16
Liberty Ale,2592,0.059,,36,American IPA,12
IPA,2578,0.065,,36,American IPA,12
Summer Wheat,2577,0.045,,36,American Pale Wheat Ale,12
California Lager,2103,0.049,,36,American Amber / Red Lager,12
Brotherhood Steam,2102,0.056,,36,California Common / Steam Beer,12
Blood Orange Gose,2291,0.042,,172,Gose,12
Keebarlin' Pale Ale,1818,0.042,,172,American Pale Ale (APA),12
"the Kimmie, the Yink and the Holy Gose",1738,0.048,,172,Gose,12
Fall Hornin',1563,0.06,,172,Pumpkin Ale,12
Barney Flats Oatmeal Stout,1520,0.057,13,172,Oatmeal Stout,12
Summer Solstice,1350,0.056,4,172,Cream Ale,12
Hop Ottin' IPA,1327,0.07,80,172,American IPA,12
Boont Amber Ale,1326,0.058,15,172,American Amber / Red Ale,12
Barney Flats Oatmeal Stout,1221,0.057,13,172,Oatmeal Stout,12
El Steinber Dark Lager,1217,0.055,25,172,Vienna Lager,16
Boont Amber Ale (2010),811,0.058,15,172,American Amber / Red Ale,12
Summer Solstice Cerveza Crema (2009),753,0.056,4,172,Cream Ale,12
Barney Flats Oatmeal Stout (2012),572,0.057,13,172,Oatmeal Stout,12
Winter Solstice,523,0.069,6,172,Winter Warmer,12
Hop Ottin' IPA (2011),367,0.07,80,172,American IPA,12
Boont Amber Ale (2011),78,0.058,15,172,American Amber / Red Ale,12
Summer Solstice (2011),77,0.056,4,172,Cream Ale,12
Poleeko Gold Pale Ale (2009),76,0.055,28,172,American Pale Ale (APA),12
Charlie's Rye IPA,2337,0.06,,147,American IPA,16
River Pig Pale Ale,410,0.054,,543,American Pale Ale (APA),16
Oaky's Oatmeal Stout,409,0.047,,543,Oatmeal Stout,16
Angry Orchard Apple Ginger,1294,0.05,,435,Cider,16
Angry Orchard Crisp Apple,1293,0.05,,435,Cider,16
Angry Orchard Crisp Apple,1292,0.05,,435,Cider,12
Golden One,2207,0.068,,194,Belgian Pale Ale,12
Arjuna,2040,0.06,,194,Witbier,12
Uroboros,2039,0.085,,194,American Stout,12
Long Leaf,2511,0.071,75,70,American IPA,16
Honey Badger Blonde,2510,0.047,19,70,American Blonde Ale,16
Porter (a/k/a Black Gold Porter),2509,0.06,23,70,American Porter,16
Sky High Rye,413,0.06,55,542,American Pale Ale (APA),12
Whitsun,390,0.062,17,542,American Pale Wheat Ale,12
On-On Ale (2008),735,0.052,,514,American Pale Ale (APA),12
Quakertown Stout,1333,0.092,50,427,American Double / Imperial Stout,12
Greenbelt Farmhouse Ale,1332,0.051,20,427,Saison / Farmhouse Ale,12
Mo's Gose,1172,0.052,10,462,Gose,16
Green Bullet Organic India Pale Ale,1322,0.07,45,430,American IPA,16
Rocket Girl,550,0.032,27,529,Kölsch,12
Ninja Porter,429,0.053,26,529,American Porter,12
Shiva IPA,428,0.06,69,529,American IPA,12
Aslan Kölsch,1640,0.048,,354,Kölsch,16
Aslan IPA,1639,0.077,,354,American IPA,16
Aslan Amber,1638,0.077,,354,American Amber / Red Ale,16
This Season's Blonde,597,0.056,27,524,American Blonde Ale,12
Independence Pass Ale,596,0.07,67,524,American IPA,12
Trolley Stop Stout,1580,0.057,40,375,American Stout,12
Bitter Bitch Imperial IPA,980,0.082,138,375,American Double / Imperial IPA,12
Poop Deck Porter,979,0.062,35,375,American Porter,12
Old Red Beard Amber Ale,978,0.06,35,375,American Amber / Red Ale,12
Hop A-Peel,2503,0.075,115,73,American Double / Imperial IPA,16
Vanilla Java Porter,2502,0.055,12,73,American Porter,16
Michelada,2495,0.052,,73,Fruit / Vegetable Beer,16
Dirty Blonde Ale,534,0.045,8,73,American Blonde Ale,12
Grand Circus IPA,528,0.05,62,73,American IPA,12
Atwater's Lager,527,0.05,12,73,Munich Helles Lager,12
Heavy Machinery IPA Series #1: Heavy Fist,1409,0.07,,414,American Black Ale,16
Fire Eagle IPA,343,0.062,,414,American IPA,12
Peacemaker,342,0.051,,414,American Pale Ale (APA),12
Pearl-Snap,341,0.053,,414,German Pilsener,12
Black Thunder,340,0.052,,414,Schwarzbier,12
Raja,2589,0.08,,38,American Double / Imperial IPA,12
Perzik Saison,2546,0.064,,38,Saison / Farmhouse Ale,12
Avery Joe’s Premium American Pilsner,146,0.047,42,38,German Pilsener,12
White Rascal,108,0.056,10,38,Witbier,12
Avery India Pale Ale,107,0.063,69,38,American IPA,12
Ellie’s Brown Ale,106,0.055,17,38,American Brown Ale,12
Pumpkin Beast,1620,0.062,17,361,Pumpkin Ale,12
OktoberBeast,1579,0.072,22,361,Märzen / Oktoberfest,12
Mad Beach,1228,0.048,23,361,American Pale Wheat Ale,12
Hog Wild India Pale Ale,705,0.067,,361,American IPA,12
Devils Tramping Ground Tripel,704,0.092,5,361,Tripel,12
Hot Rod Red,702,0.061,41,361,American Amber / Red Ale,12
Palate Mallet,2058,0.086,,236,American Double / Imperial IPA,12
Back East Porter,1483,0.06,,236,American Porter,12
Back East Golden Ale,1426,0.049,,236,American Blonde Ale,12
Misty Mountain IPA,1132,0.07,,236,American IPA,12
Back East Ale,1131,0.05,,236,American Amber / Red Ale,12
Truck Stop Honey Brown Ale,1876,0.06,,287,English Brown Ale,12
Naked Pig Pale Ale,1875,0.06,43,287,American Pale Ale (APA),12
Topcutter India Pale Ale,966,0.068,70,484,American IPA,12
Field 41 Pale Ale,965,0.044,38,484,American Pale Ale (APA),12
Grapefruit Sculpin,2593,0.07,,35,American IPA,12
Even Keel,2105,0.038,40,35,American IPA,12
Ballast Point Pale Ale,1401,0.052,23,35,Kölsch,12
Big Eye India Pale Ale,1400,0.07,75,35,American IPA,12
Longfin Lager,1019,0.046,,35,Munich Helles Lager,12
Sculpin IPA,1018,0.07,70,35,American IPA,12
All Nighter Ale,1776,0.045,,319,Extra Special / Strong Bitter (ESB),12
Banner American Rye,1644,0.045,20,319,Rye Beer,12
Banner American Ale,1643,0.035,45,319,American Amber / Red Ale,12
Thai.p.a,2618,0.07,46,21,American IPA,16
Barrio Blanco,2005,0.06,60,252,American IPA,12
Barrio Tucson Blonde,1343,0.045,,252,American Blonde Ale,12
Hop in the ‘Pool Helles,2404,0.049,22,117,American Pilsner,12
Ultra Gnar Gnar IPA,2323,0.067,60,117,American IPA,12
In-Tents India Pale Lager,2189,0.068,62,117,American Pale Lager,12
Lost Meridian Wit,2188,0.05,20,117,Witbier,12
Celestial Meridian Cascadian Dark Lager,2187,0.051,45,117,Euro Dark Lager,12
Wagon Party,1966,0.054,55,259,California Common / Steam Beer,12
Sky-Five,1965,0.067,70,259,American IPA,12
Stargrazer,1964,0.05,28,259,Schwarzbier,12
Wonderstuff,1963,0.054,48,259,German Pilsener,12
Tarnation California-Style Lager,1855,0.053,,293,California Common / Steam Beer,12
On the Count of 3 (2015),1778,0.07,42,293,Hefeweizen,16
Summer Swelter,1209,0.047,,293,American Pale Wheat Ale,12
Phantom Punch Winter Stout,954,0.068,,293,Foreign / Export Stout,12
Hayride Autumn Ale,910,0.066,,293,Rye Beer,12
Celsius Summer Ale (2012),707,0.047,,293,American Pale Wheat Ale,12
Amber Road,533,0.055,35,293,American Amber / Red Ale,12
Pamola Xtra Pale Ale,183,0.049,28,293,American Pale Ale (APA),12
Stowaway IPA,182,0.069,69,293,American IPA,12
Hoptopus Double IPA,1806,0.088,108,307,American Double / Imperial IPA,16
Watermelon Ale,2435,0.05,10,104,Fruit / Vegetable Beer,12
Fenway American Pale Ale,2423,0.058,45,104,American Pale Ale (APA),12
Back Bay IPA,2420,0.068,85,104,American IPA,12
Bunker Hill Blueberry Ale ,2419,0.048,16,104,Other,12
Oberon,2494,0.058,,77,American Pale Wheat Ale,12
Smitten,2325,0.06,,77,Rye Beer,16
Winter White,2022,0.05,,77,Witbier,16
Oberon,1989,0.058,,77,American Pale Wheat Ale,16
Two Hearted,1988,0.07,,77,American IPA,16
Best Brown,1955,0.058,,77,American Brown Ale,16
Moar,2558,0.044,44,54,English India Pale Ale (IPA),12
Uber Lupin Schwarz IPA,2557,0.083,,54,American Double / Imperial IPA,16
Nordic Blonde,2556,0.057,27,54,American Blonde Ale,12
Cold Press,2496,0.06,,76,American Black Ale,12
Harness the Winter,2410,0.072,87,76,American IPA,12
14° ESB ,1902,0.056,32,76,Extra Special / Strong Bitter (ESB),12
Bent Hop Golden IPA,1901,0.062,68,76,American IPA,12
Bent Paddle Black Ale,1261,0.06,34,76,American Black Ale,12
Venture Pils,1253,0.05,38,76,German Pilsener,12
Lost Sailor IPA,1900,0.055,40,279,English India Pale Ale (IPA),12
Steel Rail Extra Pale Ale,1317,0.053,20,279,American Pale Ale (APA),12
La Frontera Premium IPA,1158,0.078,,464,American IPA,12
Tejas Lager,1157,0.047,,464,Czech Pilsener,12
Number 22 Porter,1156,0.064,,464,American Porter,12
Big Bend Hefeweizen,1155,0.056,,464,Hefeweizen,12
Terlingua Gold,1154,0.06,,464,American Blonde Ale,12
Aprè Shred,2104,0.081,17,221,American Strong Ale,16
Hemlock Double IPA,1762,0.095,104,221,American Double / Imperial IPA,12
West Portal Colorado Common Summer Ale,1422,0.041,,221,California Common / Steam Beer,16
Disconnected Red,1067,0.067,85,221,American Amber / Red Ale,16
Big Elm IPA,1003,0.07,,478,American IPA,12
Gerry Dog Stout,1002,0.065,,478,American Stout,12
413 Farmhouse Ale,1001,0.06,,478,Saison / Farmhouse Ale,12
Dark Star,2639,0.08,54,9,American Stout,16
Ryecoe,2469,0.062,,9,American IPA,16
Blueberry Blonde,2586,0.06,,41,Fruit / Vegetable Beer,12
Galaxy IPA,2585,0.075,60,41,American IPA,16
Big River Pilsner,643,0.05,32,520,Czech Pilsener,12
House Brand IPA,632,0.06,55,520,American IPA,12
Big Sky IPA,1714,0.062,65,337,American IPA,12
Scape Goat Pale Ale,1713,0.05,40,337,English Pale Ale,12
Montana Trout Slayer Ale,1712,0.05,35,337,American Pale Wheat Ale,12
Moose Drool Brown Ale,1711,0.051,26,337,American Brown Ale,12
Powder Hound Winter Ale,1456,0.072,60,337,English Strong Ale,12
Moose Drool Brown Ale (2011),767,0.051,26,337,American Brown Ale,12
Montana Trout Slayer Ale (2012),766,0.05,35,337,American Pale Wheat Ale,12
Big Sky IPA (2012),579,0.062,65,337,American IPA,12
Summer Honey,168,0.047,,337,American Blonde Ale,12
Scape Goat Pale Ale (2010),159,0.05,40,337,English Pale Ale,12
Montana Trout Slayer Ale (2009),35,0.05,35,337,American Pale Wheat Ale,12
Moose Drool Brown Ale (2009),34,0.051,26,337,American Brown Ale,12
Arcus IPA,2096,0.069,81,222,American IPA,12
Wavemaker,2095,0.058,38,222,American Amber / Red Ale,12
Jack Pine Savage,1257,0.053,43,445,American Pale Ale (APA),16
Forest Fire Imperial Smoked Rye,1256,0.099,85,445,Rye Beer,16
Bad Axe Imperial IPA,1255,0.098,76,445,American Double / Imperial IPA,16
Morning Wood,986,0.055,35,445,Oatmeal Stout,16
Bark Bite IPA,985,0.066,50,445,American IPA,16
Jalapeno Pale Ale,2508,0.055,45,71,American Pale Ale (APA),16
Blown Out Brown,1441,0.052,,408,American Brown Ale,12
Single Hop Ale,1413,0.063,,408,American Pale Ale (APA),12
Sawtooth Ale,1411,0.054,,408,American Blonde Ale,12
Saucy Intruder,2620,0.072,75,19,Rye Beer,16
Deception,2412,0.045,16,113,American Blonde Ale,12
Blackmarket Rye IPA,1898,0.075,35,113,American IPA,12
Black Market Hefeweizen,1897,0.05,8,113,Hefeweizen,12
Aftermath Pale Ale,1896,0.058,44,113,American Pale Ale (APA),12
American India Red Ale,1850,0.071,83,295,American Strong Ale,12
American Red Porter,1849,0.071,45,295,American Porter,12
American Red Saison,1848,0.078,34,295,Saison / Farmhouse Ale,12
Colorado Red Ale,1847,0.066,44,295,American Amber / Red Ale,12
Saddle Bronc Brown Ale,2485,0.048,16,80,American Brown Ale,12
Bomber Mountain Amber Ale,2484,0.046,20,80,American Amber / Red Ale,12
Flying Sailor,2449,0.073,,96,Rye Beer,12
Nordskye ,2634,0.048,47,13,American IPA,12
North Third Stout,2153,0.06,30,13,Foreign / Export Stout,12
Honey Lav,1953,0.052,,13,American Pale Wheat Ale,12
Coconut Brown Ale,1496,0.068,,13,American Brown Ale,12
51K IPA,1481,0.07,51,13,American IPA,12
Grand Rabbits,1480,0.055,,13,Cream Ale,12
1800 Big Log Wheat (2012),1564,0.05,,381,American Pale Wheat Ale,12
Double Play Pilsner,1541,,,381,American Pilsner,12
Brewerhood Brown Ale,1321,0.055,,381,American Brown Ale,12
Last Call Imperial Amber Ale,1320,0.08,,381,American Amber / Red Ale,12
Pernicious Double IPA,1319,0.096,,381,American Double / Imperial IPA,12
6-4-3 Double Play Pilsner,1303,0.052,,381,German Pilsener,12
N Street Drive-In 50th Anniversary IPA,1025,,,381,American Double / Imperial IPA,12
467 Ethan's Stout,1012,0.05,,381,American Stout,12
1335 Wicked Snout,942,0.064,,381,Saison / Farmhouse Ale,12
543 Skull Creek Fresh Hopped Pale Ale,937,0.045,,381,American Pale Ale (APA),12
1327 Pod's ESB,888,0.056,37,381,Extra Special / Strong Bitter (ESB),12
1327 Pod's ESB,886,0.056,37,381,Extra Special / Strong Bitter (ESB),12
1327 Pod's ESB,612,0.056,37,381,Extra Special / Strong Bitter (ESB),12
834 Happy As Ale,611,0.046,35,381,American Pale Ale (APA),12
Yellow Collar,1372,0.059,,423,Mead,12
Green Collar,1371,0.059,,423,Mead,12
Quarter Mile Double IPA,1812,0.08,80,305,American Double / Imperial IPA,12
Full Nelson Pale Ale,1547,0.059,60,383,American Pale Ale (APA),12
Steel Wheels ESB,1546,0.065,30,383,Extra Special / Strong Bitter (ESB),12
Blue Mountain Classic Lager,1545,0.053,22,383,Euro Pale Lager,12
Full Nelson Pale Ale (2010),119,0.059,60,383,American Pale Ale (APA),12
Kölsch 151,1408,0.049,16,415,Kölsch,12
Professor Black,2490,,,78,American Stout,12
Little Boss,2489,,,78,American Pale Wheat Ale,12
Van Dayum!,2488,,,78,American Amber / Red Ale,12
Spirit Animal,2487,,,78,American Pale Ale (APA),12
Toxic Sludge,939,0.07,,490,American Black Ale,16
Blue Point White IPA,692,0.06,40,490,American White IPA,12
Blue Point Summer Ale,667,0.044,16,490,American Blonde Ale,12
Toasted Lager,665,0.055,28,490,Vienna Lager,12
Bohemian Export Lager,1607,0.06,,365,Dortmunder / Export Lager,12
Altus Bohemes Altbier,1597,0.053,,365,Altbier,12
Cherny Bock,344,0.04,,365,Schwarzbier,12
Czech Pilsner,89,0.05,,365,Czech Pilsener,12
Viennese Lager,88,0.05,,365,Vienna Lager,12
Mad Manatee IPA,1569,0.065,,379,American IPA,12
Killer Whale Cream Ale,1568,0.055,,379,Cream Ale,12
Duke's Cold Nose Brown Ale,1188,0.06,,379,American Brown Ale,12
Longhop IPA,1891,0.042,30,282,American IPA,16
Lucky Buck,1890,0.04,34,282,Irish Dry Stout,16
Bomb Lager (New Recipe),577,0.051,,526,Munich Helles Lager,12
Bomb Lager (Old Recipe),513,0.045,27,526,Munich Helles Lager,12
Firestarter India Pale Ale,2422,0.066,72,108,American IPA,12
Kilt Dropper Scotch Ale,1727,0.075,22,108,Scotch Ale / Wee Heavy,16
Wood Splitter Pilsner,1614,0.048,30,108,Czech Pilsener,16
Gyptoberfest,1613,0.056,26,108,Märzen / Oktoberfest,12
Farmer Wirtz India Pale Ale,1549,0.07,94,108,English India Pale Ale (IPA),16
Slow & Steady Golden Ale,1548,0.047,,108,American Blonde Ale,12
Pink-I Raspberry IPA,1517,0.068,,108,American IPA,16
Moe's Original Bar B Que 'Bama Brew Golden Ale,1500,0.047,,108,American Blonde Ale,12
Live Local Golden Ale,1421,0.047,,108,American Blonde Ale,12
Screaming Eagle Special Ale ESB,1360,0.048,38,108,Extra Special / Strong Bitter (ESB),12
Dirtbag Dunkel,1184,0.049,,108,Munich Dunkel Lager,16
Kindler Pale Ale,1183,0.053,45,108,American Pale Ale (APA),12
Mistress Winter Wheat,1023,0.064,,108,Winter Warmer,12
Tent Pole Vanilla Porter,998,0.061,,108,American Porter,16
Awry Rye Pale Ale,997,0.058,,108,American Pale Ale (APA),12
Demshitz Brown Ale,996,0.058,,108,American Brown Ale,12
Wood Splitter Pilsner (2012),931,0.048,,108,Czech Pilsener,12
Brush Creek Blonde,798,0.048,,108,American Blonde Ale,16
Firestarter India Pale Ale,633,0.066,72,108,American IPA,16
Noche Dulce,2062,0.071,16,232,American Porter,16
Porch Rocker,1830,0.045,8,301,Radler,12
Rebel IPA,1629,0.065,45,301,American IPA,16
Cold Snap,1601,0.055,,301,Witbier,12
Samuel Adams Winter Lager,1427,0.056,,301,Bock,12
Boston Lager,1349,0.049,30,301,Vienna Lager,16
Boston Lager,1310,0.049,30,301,Vienna Lager,12
Samuel Adams Octoberfest,1281,0.053,15,301,Märzen / Oktoberfest,12
Samuel Adams Summer Ale,1144,0.053,7,301,American Pale Wheat Ale,12
Boston Lager,1143,0.049,30,301,Vienna Lager,12
Hazed & Infused,1395,0.049,35,418,American Pale Ale (APA),12
Hoopla Pale Ale,808,0.057,35,418,American Pale Ale (APA),12
Hazed & Infused (2010),81,0.049,35,418,American Pale Ale (APA),12
Heavy Lifting,2596,0.062,80,32,American IPA,12
1492,2300,0.065,,168,American Pale Ale (APA),12
Mango Ginger,2299,0.058,,168,American IPA,12
Passenger,2298,0.047,,168,English Dark Mild Ale,12
Plum St. Porter,2107,0.06,52,220,American Porter,12
Plum St. Porter,1573,0.057,52,220,American Porter,12
Bozone HopZone IPA,1289,0.07,80,220,American IPA,12
Bozone Hefe Weizen,1288,0.06,25,220,Hefeweizen,12
Bozone Select Amber Ale,470,0.055,,220,American Amber / Red Ale,12
Evil Owl,2167,0.052,40,208,American Amber / Red Ale,12
Post Time Kölsch,2204,0.05,,196,Kölsch,16
Agave Wheat,1522,0.042,9,392,American Pale Wheat Ale,12
SummerBright Ale,397,0.045,15,392,American Pale Wheat Ale,12
Lucky U IPA,193,0.062,68,392,American IPA,12
Avalanche Ale,83,0.054,19,392,American Amber / Red Ale,12
"You're My Boy, Blue",1802,0.05,,309,Fruit / Vegetable Beer,12
Last Stop IPA,1801,0.072,60,309,American IPA,12
Rollin Dirty Red Ale,1800,0.05,21,309,Irish Red Ale,12
Are Wheat There Yet?,1799,0.055,28,309,American Pale Wheat Ale,12
Insert Hop Reference,2619,0.058,,20,American Pale Ale (APA),16
Manitou Amber,2468,0.053,,86,American Amber / Red Ale,16
Belfort,2637,0.067,,11,Saison / Farmhouse Ale,16
Star Runner,2636,0.06,,11,Belgian Pale Ale,16
Tart Side of the Barrel,2598,0.098,,11,American Double / Imperial Stout,16
Linnaeus Mango IPA,2597,0.06,,11,American IPA,16
Beasts A'Burnin',2548,0.07,,11,Rauchbier,16
Verdun,2542,0.077,,11,Bière de Garde,16
Barrel Aged Triomphe,2541,0.065,,11,Belgian IPA,16
Cherry Doppelbock,2504,0.065,,11,Doppelbock,16
Tropical Saison,2500,0.065,,11,Saison / Farmhouse Ale,16
Beach Patrol,2499,0.065,,11,Witbier,16
Nuit Serpent,2498,0.05,,11,Belgian IPA,16
Paris,2481,0.09,,11,Saison / Farmhouse Ale,16
The Grand Army,2476,0.055,,11,Belgian IPA,16
Acidulated Trip,2467,0.059,,11,Saison / Farmhouse Ale,16
Root Stock,2466,0.066,,11,Rye Beer,16
Mind Games,2465,0.041,,11,Dunkelweizen,16
Sous Chef,2433,0.082,,11,Belgian Strong Pale Ale,16
Dubbelicious,2418,0.065,,11,Dubbel,16
Psychopomp,2416,0.062,,11,Belgian Dark Ale,16
Fat Paczki,2382,,,11,Belgian Dark Ale,16
Earth-Like Planets,2381,,,11,Belgian Pale Ale,16
Ski Patrol,2290,0.061,,11,Witbier,16
Viking Ice Hole,2241,0.063,,11,Oatmeal Stout,16
Rye Porter,2240,0.056,,11,American Porter,16
Wizard Burial Ground,2137,0.099,,11,Quadrupel (Quad),16
Smoky Wheat,2101,0.051,,11,Rauchbier,16
BRIPA,2092,0.062,,11,Belgian IPA,16
Mela,2091,0.062,,11,Belgian Dark Ale,16
W.I.P.A Snappa,2086,0.053,,11,Belgian IPA,16
Pepper in the Rye,2023,0.063,,11,Rye Beer,16
Moe Lasses',2006,0.064,,11,American Stout,16
Pumpkin Tart,1997,0.07,,11,Fruit / Vegetable Beer,16
Undertaker,1977,0.067,,11,Belgian Dark Ale,16
Undertaker (2014),1976,0.067,,11,Belgian Dark Ale,16
Coq D'Or,1974,0.05,,11,Belgian Pale Ale,16
North French,1973,0.06,,11,Bière de Garde,16
Agent a Deux,1959,0.065,,11,Belgian Dark Ale,16
Belgian Wit,1958,0.045,,11,Witbier,16
Pothole Stout,1949,0.063,,11,American Stout,16
Tree Bucket,1947,0.093,,11,Belgian IPA,16
Le Flaneur Ale,1785,0.073,,11,American Wild Ale,16
Maize & Blueberry,1651,0.056,,11,Fruit / Vegetable Beer,16
Trebuchet Double IPA,1443,0.093,,11,American Double / Imperial IPA,16
Contemplation,1352,0.065,,11,Bière de Garde,16
Black Rabbit,1267,0.05,,11,American Black Ale,16
Zaison,1266,0.09,,11,Saison / Farmhouse Ale,16
Vivant Tripel,1178,0.082,,11,Tripel,16
Tart Side of the Moon,1136,0.098,,11,Belgian Dark Ale,16
Big Red Coq,1044,0.06,,11,American Amber / Red Ale,16
Hubris Quadrupel Anniversary Ale,1033,0.099,,11,Quadrupel (Quad),16
Plow Horse Belgian Style Imperial Stout,1031,0.095,,11,American Double / Imperial Stout,16
Escoffier Bretta Ale,909,0.092,,11,American Wild Ale,16
Contemplation (2012),873,0.065,,11,Bière de Garde,16
Vivant Belgian Style Imperial Stout (2012),860,0.099,,11,Russian Imperial Stout,16
Big Red Coq (2012),677,0.062,,11,American Amber / Red Ale,16
Zaison (2012),671,0.09,,11,Saison / Farmhouse Ale,16
Vivant Tripel (2012),670,0.092,,11,Tripel,16
