id,Sex,Diameter,Length,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
38,F,1.3125,1.6875,0.475,44.0834725,19.504456,10.149121,11.283101,10
39,F,1.2375,1.55,0.4375,36.514156,16.68368075,7.7394135,10.0640725,11
40,F,1.0875,1.45,0.3875,28.8881405,11.5382465,6.10931725,8.51902475,11
41,M,1.3,1.625,0.4125,47.513762,19.66037825,11.41067375,11.24057675,10
42,M,1.1875,1.5125,0.4875,37.35046625,11.566596,6.56290925,11.623295,17
43,F,1.175,1.4625,0.375,30.40483875,14.04717725,5.74077375,9.2135875,11
44,I,1,1.3125,0.3375,20.0430965,10.035723,4.139027,4.6776675,7
45,F,1.4125,1.775,0.4875,45.302501,17.98775775,9.525432,14.17475,18
46,F,0.975,1.275,0.3125,15.09610875,6.42116175,3.75630875,4.66349275,11
47,F,1.2,1.5,0.4125,26.2799865,9.355335,5.54232725,8.3631025,17
48,M,1.275,1.6,0.4125,46.13881125,23.6151335,9.525432,11.01378075,12
49,F,1.175,1.5125,0.4,34.91240925,14.72756525,7.29999625,9.63883,9
50,F,1.2625,1.65,0.4125,44.04094825,20.31241675,10.36174225,10.02154825,10
51,I,0.6625,0.85,0.1875,5.71242425,2.3530085,1.14815475,1.5592225,6
52,I,0.3375,0.45,0.1,0.77961125,0.283495,0.226796,0.283495,5
53,I,0.9625,1.2875,0.3125,16.4143605,7.10154975,4.53592,4.9611625,9
54,M,1.1875,1.5125,0.375,32.27590575,14.21727425,8.7032965,6.80388,10
55,I,0.7875,1.0625,0.25,9.7805775,4.4508715,2.22543575,2.551455,7
56,M,1.0625,1.375,0.375,23.79940525,11.41067375,4.8477645,6.3786375,8
57,F,1.125,1.425,0.35,23.700182,11.15552825,4.12485225,6.9456275,9
58,I,0.5125,0.6875,0.175,2.31048425,1.0489315,0.6520385,0.850485,5
59,I,0.65,0.8875,0.2125,5.31553125,2.59397925,1.14815475,1.5592225,7
60,I,0.9375,1.225,0.35,17.33571925,6.42116175,4.06815325,4.819415,8
61,M,1.15,1.525,0.3875,24.79163775,11.09882925,6.36446275,8.0796075,10
62,I,1,1.2625,0.375,18.75319425,7.3992195,4.025629,5.953395,10
63,M,0.8375,1.1125,0.2625,11.6516445,4.72019175,2.65067825,3.2601925,7
64,M,1.3,1.7125,0.3875,41.82968725,17.78931125,9.76640275,10.9712565,10
65,F,1.2125,1.5875,0.425,36.61337925,17.7184375,8.1930055,8.6465975,9
66,I,0.3625,0.5125,0.1,0.963883,0.3118445,0.21262125,0.283495,4
67,F,1.3625,1.675,0.375,32.07745925,15.37960375,8.60407325,8.9300925,10
68,M,1.4125,1.725,0.5,45.7277435,17.73261225,10.50348975,12.45960525,15
69,I,0.6875,0.95,0.25,7.9095105,3.458639,1.48834875,2.26796,7
70,I,0.55,0.75,0.175,3.98310475,1.54504775,0.94970825,0.9922325,3
71,M,0.9125,1.175,0.3125,12.65805175,6.973977,3.6003865,3.855532,7
72,M,0.5,0.675,0.2125,3.3168915,1.5025235,0.75126175,0.9922325,6
73,F,1.125,1.4375,0.35,23.60095875,10.78698475,4.77689075,6.3786375,8
74,F,0.9125,1.1875,0.3125,13.79203175,5.1312595,3.0333965,4.252425,7
75,F,1.1875,1.5875,0.475,37.32211675,16.79707875,8.51902475,7.5126175,9
76,I,0.4125,0.5875,0.125,1.82854275,0.60951425,0.41106775,0.52446575,6
77,I,0.6875,0.9375,0.2125,6.2085405,2.70737725,1.11980525,1.70097,6
78,I,0.675,0.875,0.1875,3.61456125,1.17650425,0.92135875,1.13398,5
79,F,1.125,1.4,0.375,24.834162,9.28446125,5.76912325,7.087375,13
80,F,1.3125,1.625,0.475,43.318036,22.0275615,10.56018875,11.3398,10
81,I,0.2125,0.4625,0.125,0.907184,0.3118445,0.1417475,0.283495,4
82,I,1.075,1.325,0.325,20.0997955,8.09378225,4.479221,5.17378375,8
83,F,1.25,1.5125,0.475,35.096681,11.9351395,8.37727725,11.7650425,13
84,I,1,1.25,0.35,18.597272,8.3631025,4.819415,5.6699,9
85,F,1.075,1.3875,0.4,22.4244545,10.829509,4.06815325,6.13766675,10
86,F,1,1.2875,0.3375,19.43358225,9.7805775,4.01145425,5.2446575,8
87,F,1.3125,1.65,0.45,42.2691045,20.48251375,9.015141,11.4815475,11
88,M,1,1.3,0.325,18.46969925,8.0796075,4.89028875,4.9611625,9
89,M,1.2,1.55,0.4375,31.127751,11.453198,6.406987,11.056305,14
90,M,0.9125,1.1875,0.3,13.36678925,6.25106475,2.5798045,4.252425,8
91,F,1.1,1.375,0.3875,27.839209,14.81261375,6.56290925,7.5126175,9
92,F,1.175,1.525,0.375,26.87203325,12.417081,5.59902625,6.23689,9
93,I,0.9375,1.1375,0.3,13.8062065,5.5848515,3.0333965,4.3941725,8
94,M,1.1875,1.525,0.5,35.36600125,15.8473705,6.2652395,13.60776,20
95,I,0.7,0.9625,0.225,6.13766675,2.721552,1.0489315,2.1262125,7
96,I,0.95,1.25,0.3125,18.824068,8.164656,3.7704835,4.3941725,9
97,I,0.5,0.6125,0.175,2.76407625,1.1056305,0.52446575,0.60951425,5
98,M,1.0375,1.3375,0.375,27.499015,9.865626,4.63514325,8.788345,15
99,F,0.675,0.9125,0.225,5.8116475,2.7499015,1.28990225,1.927766,10
100,I,1.125,1.525,0.4,30.674159,15.1102835,6.0951425,7.087375,8
101,M,1.075,1.375,0.3625,22.2543575,9.08601475,4.46504625,6.9456275,12
102,I,0.675,0.8875,0.25,6.47786075,2.9199985,1.587572,2.324659,7
103,F,1.3125,1.625,0.4375,41.673765,18.07280625,8.68912175,11.056305,10
104,I,1.0625,1.375,0.35,23.20406575,10.47514025,4.66349275,6.9456275,7
105,I,0.725,0.9375,0.25,10.75863525,4.0539785,1.88524175,2.4097075,8
106,M,1.1375,1.5125,0.375,31.14192575,13.13999325,5.06038575,9.922325,10
107,I,0.475,0.6375,0.1375,2.438057,0.793786,0.52446575,0.7087375,6
108,I,1,1.2875,0.325,17.90270925,7.711064,3.7137845,5.10291,10
109,I,0.75,1,0.25,8.40562675,3.86970675,1.8994165,2.4097075,7
110,M,1.3125,1.6625,0.4375,39.8877465,19.6462035,8.391452,10.9145575,11
111,I,0.95,1.225,0.35,14.64251675,5.28718175,3.7704835,4.69184225,9
112,M,1.1625,1.525,0.4125,30.957654,14.04717725,7.0023265,8.9300925,10
113,I,1.0625,1.3,0.375,22.4244545,10.432616,4.5642695,5.386405,9
114,M,0.8125,1,0.275,10.375917,4.01145425,2.097863,3.40194,9
115,F,1.2875,1.575,0.4375,34.68561325,13.48018725,7.66853975,10.489315,17
116,M,0.875,1.125,0.3,14.004653,6.16601625,2.721552,3.98310475,9
117,F,1,1.3375,0.35,22.792998,9.8372765,5.85417175,5.2446575,8
118,I,0.8875,1.1875,0.275,13.53688625,6.16601625,2.36718325,4.1106775,7
119,I,0.8875,1.2125,0.3125,14.61416725,5.6982495,3.64291075,3.96893,8
120,M,1.25,1.6125,0.425,44.80638475,17.973583,10.70193625,11.623295,21
121,M,1.1875,1.5,0.4375,31.19862475,12.60135275,7.49844275,9.355335,16
122,F,1.075,1.4125,0.3875,29.653577,12.870673,4.89028875,8.788345,11
123,I,0.7,0.925,0.225,6.64795775,2.721552,1.28990225,1.8994165,6
124,F,1.275,1.5875,0.425,34.359594,14.5999925,8.2497045,10.9145575,13
125,F,1.325,1.625,0.475,43.21881275,18.89494175,9.015141,11.679994,10
126,M,1.0625,1.3125,0.3375,23.85610425,9.525432,4.422522,5.8116475,8
127,F,1.1625,1.525,0.4,32.205032,14.84096325,6.90310325,8.77417025,8
128,M,1.3,1.6375,0.45,44.22522,18.83824275,10.7444605,11.4815475,12
129,M,0.925,1.1375,0.3125,13.96212875,6.180191,2.53728025,3.75630875,8
130,I,0.6375,0.825,0.15,5.25883225,2.14038725,1.2757275,1.70097,5
131,I,0.7125,0.9375,0.25,7.78193775,3.2601925,1.54504775,2.1829115,7
132,I,0.6375,0.875,0.225,5.71242425,2.5798045,1.0489315,1.5592225,6
133,I,0.725,0.9625,0.225,6.30776375,2.948348,1.63009625,2.1262125,5
134,M,1.075,1.325,0.3125,20.3265915,7.93786,3.89805625,6.23689,10
135,F,1.1625,1.5,0.425,31.39707125,14.04717725,6.44951125,7.49844275,9
136,F,1.1875,1.5375,0.3875,35.3518265,17.08057375,6.67630725,9.7805775,9
137,M,1.225,1.5625,0.425,32.41765325,15.46465225,7.41339425,9.241937,13
138,F,0.9375,1.25,0.3125,14.75591475,5.5281525,3.1467945,4.6776675,15
139,F,1.2125,1.6125,0.45,39.41997975,14.911837,8.23552975,11.3398,13
140,I,0.85,1.075,0.2625,11.89261525,5.82582225,2.551455,3.40194,8
141,M,1.2875,1.6375,0.475,45.302501,16.612807,10.8578585,14.5999925,12
142,M,1.2,1.4875,0.425,30.8726055,11.12717875,6.36446275,9.4970825,12
143,M,1.3125,1.7125,0.425,46.42230625,20.751834,10.035723,10.6310625,12
144,F,1.25,1.5625,0.4375,36.18813675,13.93377925,7.52679225,13.891255,14
145,M,1.1375,1.45,0.425,27.71163625,10.8011595,5.5281525,8.221355,16
146,I,0.9875,1.2625,0.35,18.83824275,8.788345,3.6003865,6.0951425,11
147,M,1.125,1.425,0.4125,25.741346,7.93786,5.59902625,9.922325,14
148,I,0.8125,1.0875,0.275,10.3475675,4.49339575,2.08368825,2.9766975,7
149,I,0.8875,1.1,0.3,12.927372,5.1312595,3.50116325,3.572037,8
150,M,1.2125,1.5625,0.4125,35.777069,16.6978555,8.0229085,9.2135875,10
151,M,1.325,1.6375,0.4,39.70347475,19.60367925,7.9095105,11.4815475,11
152,F,1.325,1.6875,0.475,41.900561,16.48523425,7.3425205,11.90679,14
153,M,1.3,1.675,0.4375,35.25260325,17.519991,7.35669525,10.0640725,13
154,I,0.3,0.5,0.1125,0.9355335,0.3118445,0.41106775,0.283495,4
155,M,1.1,1.3625,0.3625,26.32251075,9.99319875,5.17378375,8.221355,15
156,I,0.675,0.9125,0.2125,5.1879585,2.48058125,1.09145575,1.70097,6
157,F,1.4125,1.7375,0.5375,57.1242425,21.61649375,14.7133905,14.74174,15
158,I,0.9125,1.1875,0.25,13.04077,5.82582225,2.87747425,3.8271825,8
159,I,0.75,1.025,0.25,7.93786,3.55786225,1.6159215,2.1262125,7
160,I,0.85,1.1,0.325,12.65805175,5.37223025,2.67902775,3.5436875,9
161,M,1.2125,1.5875,0.4375,35.81959325,14.10387625,7.61184075,10.489315,10
162,F,1.325,1.775,0.4875,45.91201525,18.9091165,9.185238,12.757275,11
163,F,0.9375,1.1875,0.3375,16.5277585,7.3425205,3.345241,5.386405,12
164,M,1.025,1.3625,0.4125,23.71435675,7.881161,5.40057975,7.654365,15
165,I,1.05,1.35,0.35,19.4761065,9.298636,3.4869885,5.2446575,10
166,I,1.0625,1.3125,0.3375,21.50309575,9.8939755,4.86193925,6.23689,9
167,F,1.15,1.45,0.375,26.2799865,7.37087,5.273007,7.2291225,10
168,I,0.6,0.8,0.1875,4.422522,1.587572,0.97805775,1.417475,6
169,M,1.0625,1.375,0.3875,24.5790165,7.7961125,3.98310475,8.0796075,13
170,F,1.125,1.4,0.3625,28.7180435,13.5227115,5.82582225,7.7961125,10
171,M,1.275,1.5875,0.475,40.80910525,18.540573,6.56290925,12.757275,11
172,M,1.2875,1.6375,0.4125,40.31221225,16.54193325,9.14271375,11.623295,13
173,F,1.1125,1.575,0.4125,30.71668325,14.92601175,6.33611325,8.50485,10
174,F,1,1.3125,0.3125,17.90270925,7.2858215,4.63514325,5.2446575,10
175,F,1.2125,1.55,0.4125,37.37881575,15.06775925,8.46232575,9.7805775,12
176,F,1.15,1.4625,0.3875,27.612413,11.69416875,5.4714535,7.5126175,10
177,I,0.9125,1.1,0.35,14.968536,6.4353365,3.912231,6.23689,9
178,M,1.2375,1.55,0.4375,29.540179,14.10387625,7.75358825,8.0796075,9
179,M,1.25,1.5625,0.4,38.55532,18.86659225,7.824462,10.0640725,10
180,F,1.1625,1.55,0.425,31.1561005,13.93377925,7.3992195,9.241937,10
181,M,1,1.3,0.2875,18.80989325,7.35669525,4.025629,5.726599,8
182,F,0.8625,1.1625,0.2625,13.8062065,6.406987,3.01922175,3.6570855,7
183,F,1.0125,1.275,0.3625,19.46193175,8.32057825,3.84135725,5.386405,10
184,M,1.0625,1.425,0.325,23.28911425,10.70193625,4.7343665,6.0951425,9
185,I,0.875,1.1125,0.275,13.53688625,6.33611325,2.5231055,3.81300775,9
186,M,0.975,1.275,0.3125,14.8834875,5.91087075,3.89805625,4.3941725,15
187,F,1.3125,1.65,0.475,38.42774725,14.35902175,8.391452,11.3398,18
188,I,0.8625,1.0875,0.275,10.886208,4.0539785,2.84912475,3.5436875,8
189,I,0.675,0.9,0.225,5.443104,2.3530085,1.1623295,1.7860185,8
190,F,1.2125,1.525,0.45,32.715323,14.7133905,7.3425205,8.9300925,13
191,I,0.725,0.9625,0.225,7.2858215,3.345241,1.68679525,2.1829115,7
192,M,1.0625,1.375,0.3625,26.94619975,10.6877615,6.6621325,7.2291225,15
193,I,0.675,0.9,0.2,6.33611325,2.551455,1.34660125,1.984465,6
194,M,1.175,1.5,0.425,28.42037375,11.566596,6.350288,9.7805775,11
195,I,0.7875,1.025,0.2625,11.55242125,6.39281225,2.11203775,2.83495,9
196,M,1,1.3125,0.3625,19.97222275,7.6827145,4.23825025,7.7961125,10
197,F,1.225,1.525,0.425,32.89959475,15.1669825,7.47009325,8.221355,11
198,I,0.9375,1.225,0.3125,16.0741665,7.18659825,3.50116325,3.78465825,9
199,M,1.1875,1.5,0.3875,30.40483875,11.8784405,4.876114,7.72523875,10
200,F,1.1,1.4,0.35,27.612413,10.149121,5.216308,8.17883075,17
201,M,0.9875,1.25,0.325,15.8473705,6.747181,3.5436875,4.6776675,9
202,M,1.275,1.5875,0.4375,35.81959325,14.92601175,8.9867915,10.0640725,23
203,I,1.075,1.3625,0.4125,20.36911575,9.48290775,4.63514325,6.23689,8
204,I,0.8,1.0625,0.275,8.4198015,3.95475525,1.80019325,2.9766975,10
205,M,1.025,1.325,0.325,23.756881,10.6877615,5.5281525,5.8116475,8
206,F,1.4375,1.8,0.45,50.008518,20.1564945,10.24834425,14.458245,12
207,I,0.7375,0.975,0.25,7.98038425,3.92640575,1.34660125,2.5798045,6
208,I,0.925,1.175,0.3125,13.53688625,5.96756975,2.99087225,4.252425,10
209,F,1.1,1.4375,0.4,25.44367625,10.24834425,6.180191,7.37087,13
210,M,0.7375,0.925,0.25,7.18659825,2.6365035,1.5025235,2.4097075,7
211,F,1.15,1.425,0.425,26.26581175,11.15552825,5.79747275,7.37087,12
212,M,1.1,1.3625,0.425,28.066005,14.35902175,6.10931725,7.5126175,10
213,I,0.9125,1.175,0.3375,14.2030995,6.7188315,3.30271675,4.1106775,7
214,F,0.975,1.2875,0.3125,16.839603,6.747181,4.025629,4.819415,9
215,I,0.9625,1.275,0.325,16.31513725,7.7394135,4.15320175,3.96893,8
216,M,1.275,1.6375,0.4125,36.117263,17.293195,7.2858215,11.623295,10
217,F,1.0375,1.3125,0.4,18.370476,7.41339425,4.03980375,7.030676,13
218,F,1.25,1.6,0.4875,42.354153,14.04717725,8.6465975,13.4660125,18
219,F,0.95,1.25,0.3375,16.3576615,7.6260155,3.8838815,5.2446575,13
220,F,1.275,1.65,0.4625,46.84754875,23.5584345,10.13494625,11.3398,11
221,I,0.9625,1.25,0.3125,16.6978555,7.04485075,3.3168915,4.53592,8
222,F,1.3125,1.5875,0.5,39.179009,18.313777,8.83086925,11.29727575,13
223,F,1.375,1.7125,0.4375,49.8667705,23.91280325,9.128539,13.87708025,11
224,F,0.85,1.1,0.2625,11.55242125,4.6776675,2.73572675,3.8271825,11
225,I,0.9625,1.25,0.3375,13.551061,6.36446275,3.47281375,3.4302895,8
226,I,1.0375,1.3625,0.3875,22.8780465,9.42620875,4.1106775,6.23689,10
227,M,1.1,1.4125,0.3625,25.287754,7.7961125,5.40057975,7.7961125,10
228,I,0.975,1.275,0.3125,15.3937785,6.633783,3.27436725,4.819415,9
229,M,1.175,1.5125,0.3625,29.937072,13.1825175,6.90310325,8.788345,13
230,M,1.2,1.5625,0.375,32.601925,16.3009625,7.27164675,8.221355,12
231,M,1.1,1.475,0.4,26.988724,9.2135875,5.8683465,9.355335,13
232,I,1.05,1.325,0.325,19.8163005,9.695529,3.72795925,6.23689,8
233,M,1.175,1.525,0.4,34.5013415,15.30873,6.67630725,9.39785925,9
234,I,0.8125,1.1,0.25,11.169703,4.60679375,2.041164,3.005047,7
235,I,1.0625,1.375,0.3625,24.42309425,10.56018875,4.43669675,7.2291225,10
236,I,0.9,1.1875,0.25,13.8062065,6.47786075,3.01922175,3.231843,8
237,F,1.175,1.5,0.4125,35.777069,17.293195,6.53455975,9.4970825,13
238,F,1.1625,1.5625,0.425,31.581343,14.7700895,7.2291225,8.50485,9
239,M,1.25,1.5125,0.4375,37.9032815,15.195332,8.29222875,9.4970825,13
240,M,1.2375,1.5,0.475,38.08755325,18.200379,8.3064035,10.6310625,10
241,I,0.7875,1.05,0.2125,11.07047975,5.6699,2.4097075,2.90582375,9
242,F,1.275,1.6,0.4125,38.51279575,18.58309725,8.34892775,9.922325,11
243,F,1.1125,1.3875,0.375,25.3728025,12.2186345,6.59125875,6.6621325,8
244,F,1,1.2625,0.3125,17.463292,7.087375,4.252425,5.5281525,9
245,F,1.0875,1.4125,0.375,25.27357925,10.02154825,5.93922025,7.7961125,9
246,M,1.4375,1.8,0.5,50.6605565,19.66037825,10.21999475,17.0097,16
247,I,0.525,0.7,0.175,4.09650275,1.814368,0.83631025,1.09145575,5
248,M,0.925,1.1,0.3125,14.69921575,6.64795775,2.87747425,4.3941725,7
249,F,1,1.2625,0.375,18.58309725,8.60407325,4.4508715,5.2446575,11
250,M,1.0625,1.325,0.3375,23.09066775,10.77281,4.80524025,7.93786,9
251,F,1.1,1.4375,0.375,24.323871,10.829509,5.08873525,7.7961125,12
252,F,0.9375,1.225,0.3,16.386011,7.52679225,4.082328,4.1106775,7
253,I,0,0.275,0.0875,0.49611625,0.1417475,0.09922325,0.1417475,4
254,M,1.125,1.4625,0.375,24.42309425,10.3475675,4.32329875,8.334753,10
255,F,0.8625,1.1,0.2625,11.66581925,5.28718175,2.70737725,2.83495,7
256,I,0.6375,0.825,0.2,5.556502,2.42388225,1.020582,1.65844575,6
257,M,1.175,1.5125,0.375,31.62386725,15.30873,7.47009325,8.9300925,9
258,M,1,1.3125,0.3125,16.726205,8.4198015,4.15320175,4.32329875,12
259,I,0.7875,1.0375,0.2875,8.23552975,3.44446425,1.7293195,2.9766975,9
260,F,1.225,1.475,0.425,30.91512975,12.77144975,6.67630725,10.0640725,10
261,F,1.25,1.65,0.475,36.58502975,17.179797,8.00873375,8.9300925,9
262,M,1.2125,1.55,0.4,30.900955,13.19669225,6.50621025,8.618248,10
263,F,1.2375,1.5875,0.3875,34.68561325,13.93377925,7.64019025,9.48290775,9
264,M,1.3125,1.675,0.5,41.560367,17.1514475,7.1724235,11.4815475,17
265,I,0.525,0.7,0.175,2.08368825,0.850485,0.3685435,0.8221355,5
266,F,1.1875,1.5125,0.45,33.46658475,14.21727425,7.52679225,8.9300925,11
267,I,0.3125,0.45,0.0875,0.89300925,0.35436875,0.18427175,0.29766975,6
268,I,0.725,0.975,0.3125,7.087375,3.41611475,1.7293195,2.4097075,9
269,F,0.975,1.25,0.325,14.118051,5.74077375,2.721552,4.479221,11
270,M,1,1.25,0.3875,18.01610725,7.69688925,4.01145425,5.046211,9
271,M,1.225,1.5625,0.375,34.7848365,15.52135125,7.78193775,8.63242275,10
272,M,0.375,0.525,0.125,1.190679,0.5386405,0.340194,0.4252425,6
273,F,1.1625,1.4375,0.3625,25.67047225,12.870673,4.89028875,7.5126175,9
274,M,1.1875,1.475,0.4125,28.8314415,14.685041,5.3013565,7.654365,12
275,I,0.75,0.95,0.225,7.144074,3.01922175,1.68679525,2.1262125,6
276,F,0.9125,1.15,0.275,12.74310025,6.690482,2.891649,4.53592,11
277,I,0.6,0.8125,0.1875,4.309124,1.71514475,0.97805775,1.2757275,6
278,I,0.5125,0.6875,0.1875,2.8066005,1.0489315,0.5386405,0.850485,6
279,F,1.1625,1.4625,0.4125,28.02348075,11.94931425,6.39281225,9.07184,10
280,I,0.725,1,0.2625,10.30504325,4.46504625,1.91359125,3.231843,7
281,M,1.1375,1.425,0.4375,24.437269,8.9867915,4.66349275,8.0796075,10
282,F,1,1.25,0.3125,18.71067,6.64795775,4.06815325,5.2446575,8
283,F,1.25,1.5875,0.45,40.44056175,13.9196045,8.68912175,13.324265,16
284,F,1.425,1.7625,0.525,43.21881275,20.2131935,9.3836845,11.90679,11
285,F,0.85,1.1,0.2875,12.51630425,4.7343665,2.5231055,3.40194,12
286,M,1.1625,1.5,0.375,35.93299125,17.08057375,6.67630725,7.93786,9
287,I,0.775,1,0.225,8.12213175,4.1106775,1.13398,2.16873675,6
288,I,0.65,0.8375,0.2375,5.6699,2.7499015,0.850485,1.5592225,6
289,M,1.1125,1.4,0.4375,29.8520235,12.3887315,5.499803,9.355335,15
290,M,1.275,1.6125,0.4375,38.0733785,17.90270925,7.2858215,10.4042665,12
291,F,0.875,1.0625,0.3125,11.94931425,4.66349275,2.8066005,3.96893,8
292,M,1.0625,1.2875,0.3125,21.659018,9.07184,4.5075705,5.10291,9
293,F,1.25,1.6125,0.5,44.9906565,14.911837,9.53960675,13.891255,16
294,I,0.525,0.7,0.1625,2.721552,0.850485,0.3685435,0.850485,5
295,I,0.85,1.1,0.275,11.77921725,5.3580555,2.11203775,3.4869885,9
296,F,0.7125,0.9375,0.25,6.44951125,2.65067825,1.28990225,2.1262125,14
297,F,1.3375,1.6875,0.4625,44.06929775,18.01610725,9.241937,13.324265,11
298,M,1.15,1.55,0.375,30.43318825,13.5794105,6.2652395,7.5126175,10
299,F,1.15,1.525,0.425,31.22697425,11.453198,5.85417175,9.922325,16
300,I,0.8875,1.175,0.2875,13.53688625,5.3013565,2.22543575,4.252425,8
301,M,1.1625,1.4625,0.375,25.684647,10.375917,6.0384435,7.2291225,9
302,I,0.35,0.5,0.1375,0.89300925,0.41106775,0.226796,0.396893,5
303,M,0.925,1.1625,0.3,15.43630275,6.73300625,2.8632995,4.3941725,9
304,M,1.125,1.4375,0.375,27.22969475,13.5227115,5.88252125,7.7961125,10
305,I,0.85,1.1375,0.275,12.43125575,6.13766675,2.42388225,3.118445,8
306,I,0.925,1.175,0.3125,13.62193475,5.91087075,3.33106625,3.118445,7
307,F,1.4125,1.7,0.5,50.78075575,16.4710595,11.963489,15.4504775,22
308,F,1.2625,1.5875,0.425,38.03085425,14.35902175,8.57572375,10.6310625,10
309,F,1.3125,1.6375,0.45,41.80133775,17.78931125,7.824462,12.54465375,12
310,M,1.2,1.55,0.4375,35.3518265,17.9452335,7.1724235,9.922325,11
311,F,1.2,1.525,0.425,36.0322145,16.045817,8.71747125,8.9300925,12
312,F,1.5125,1.95,0.55,72.4329725,33.92017675,20.128145,17.57669,13
313,M,1.2625,1.525,0.4,36.18813675,16.08834125,8.164656,10.3475675,11
314,F,1.45,1.8375,0.5125,59.20793075,26.7902775,14.514944,13.04077,12
315,I,0.9625,1.25,0.2875,15.5071765,7.55514175,2.9199985,4.3941725,7
316,F,1.05,1.375,0.4125,28.08017975,12.68640125,5.783298,7.01650125,11
317,M,1.0625,1.375,0.35,24.73493875,11.8217415,4.989512,7.7961125,10
318,M,1.1,1.3875,0.375,24.5223175,12.31785775,4.932813,5.5281525,8
319,M,1.1,1.4,0.3875,24.720764,10.035723,5.48562825,7.654365,10
320,I,0.975,1.3125,0.3125,16.9246515,6.973977,3.04757125,5.2446575,9
321,M,0.8875,1.1875,0.275,12.99824575,5.499803,2.608154,3.5436875,10
322,F,1.1625,1.4625,0.375,29.44095575,13.6361095,6.08096775,8.221355,9
323,M,1.1125,1.3875,0.4,23.3883375,11.113004,4.7910655,8.0796075,13
324,I,0.9,1.175,0.2625,13.834556,6.577084,2.99087225,3.81300775,7
325,M,1.2,1.5625,0.375,35.19590425,15.422128,7.52679225,7.654365,10
326,I,0.7,0.9375,0.2625,6.33611325,2.2963095,1.77184375,1.984465,8
327,F,1.325,1.6375,0.5,38.3001745,16.62698175,7.27164675,13.324265,14
328,F,1.1875,1.5375,0.4125,30.8159065,12.06271225,6.50621025,8.788345,15
329,F,1.3375,1.875,0.4375,56.7840485,26.80445225,12.94154675,13.7495075,12
