id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight
15094,F,1.4375,1.1,0.35,21.72989175,7.52679225,3.95475525,7.654365
15095,I,1.1875,0.9125,0.3,15.195332,7.01650125,3.6003865,3.8271825
15096,I,1.0625,0.8125,0.25,10.2341695,4.89028875,2.14038725,2.9766975
15097,F,1.3125,1.0125,0.375,18.7957185,8.788345,4.40834725,5.17378375
15098,I,0.9875,0.7375,0.25,8.9867915,3.44446425,1.8994165,2.551455
15099,I,1.1,0.8125,0.275,10.33339275,4.5075705,2.33883375,2.9766975
15100,I,1.35,1.05,0.4,22.1976585,10.489315,4.309124,6.0951425
15101,I,0.875,0.6375,0.225,5.59902625,2.19708625,0.86465975,1.23320325
15102,M,1.6625,1.3125,0.475,39.7743485,16.74037975,8.51902475,12.85649825
15103,F,1.375,1.125,0.4,24.67823975,10.262519,6.30776375,7.2291225
15104,I,1.1,0.8625,0.3125,12.4454305,5.10291,2.5798045,3.3168915
15105,F,1.3625,1.125,0.4125,28.73221825,12.68640125,5.046211,8.06543275
15106,I,1.075,0.8125,0.275,11.07047975,4.97533725,2.891649,3.40194
15107,I,1.0125,0.7625,0.225,9.8372765,4.309124,2.25378525,2.551455
15108,M,1.45,1.0375,0.3625,22.0275615,11.169703,5.59902625,5.5281525
15109,M,1.4375,1.125,0.35,24.28134675,12.06271225,4.86193925,6.3786375
15110,I,0.4875,0.3375,0.1,0.86465975,0.3118445,0.21262125,0.283495
15111,F,1.5,1.1625,0.375,27.555714,12.40290625,5.57067675,7.654365
15112,F,1.5625,1.25,0.4125,32.16250775,12.20445975,6.36446275,8.9300925
15113,I,1.375,1.05,0.3375,22.21183325,8.88756825,4.97533725,6.23689
15114,I,1.1,0.8375,0.275,11.55242125,5.28718175,2.67902775,2.83495
15115,M,1.3625,1.1,0.35,22.41027975,10.829509,5.0178615,6.6621325
15116,I,1.0375,0.8125,0.25,10.77281,4.139027,2.0128145,2.6932025
15117,I,1.1875,0.9,0.3125,16.23008875,6.76135575,3.6003865,4.819415
15118,F,1.3625,1.0625,0.3125,25.44367625,12.190285,4.80524025,7.087375
15119,F,1.8,1.4625,0.4625,51.5110415,23.17571625,11.26892625,13.891255
15120,F,1.425,1.1125,0.3375,21.772416,9.6671795,4.74854125,5.6982495
15121,I,1.25,1.0,0.3125,17.78931125,7.10154975,3.96893,5.5281525
15122,I,1.375,1.05,0.375,21.72989175,9.6104805,4.989512,5.953395
15123,F,0.9,0.6875,0.25,6.30776375,2.6932025,1.31825175,2.1262125
15124,F,1.575,1.25,0.4125,32.2333815,12.417081,8.00873375,9.07184
15125,I,1.1625,0.9375,0.3125,12.757275,5.4147545,3.30271675,4.1106775
15126,I,0.85,0.6625,0.2375,5.42892925,2.26796,1.03475675,1.5592225
15127,I,0.925,0.6875,0.225,5.23048275,2.211261,1.644271,2.26796
15128,F,1.25,1.0,0.3375,18.597272,8.60407325,4.49339575,4.53592
15129,F,1.3875,1.0875,0.4,21.6873675,9.865626,4.18155125,6.3219385
15130,F,1.625,1.2375,0.425,35.19590425,16.4710595,7.4559185,10.20582
15131,F,1.4875,1.1375,0.3875,29.9654215,13.777857,6.406987,8.3064035
15132,F,1.5375,1.1875,0.3625,31.90736225,12.88484775,6.917278,9.63883
15133,F,1.625,1.3125,0.5,39.859397,19.731252,8.2497045,11.4815475
15134,M,1.3125,1.1,0.35,27.612413,11.1413535,6.520385,8.0796075
15135,M,1.6625,1.3,0.4125,38.838815,16.6411565,8.391452,10.035723
15136,M,1.5125,1.1375,0.4,29.80949925,10.4609655,6.123492,10.3475675
15137,F,1.6875,1.3375,0.4625,45.529297,20.695135,10.13494625,11.623295
15138,M,1.2625,0.975,0.35,18.9091165,7.47009325,4.5642695,5.2446575
15139,M,1.1625,0.9375,0.2875,13.70698325,5.443104,2.8066005,4.819415
15140,M,1.25,0.95,0.3875,15.83319575,6.8322295,3.92640575,4.66349275
15141,I,0.9875,0.7375,0.225,8.57572375,4.0539785,1.7293195,2.4097075
15142,I,1.3125,1.0,0.3875,19.46193175,8.46232575,3.7137845,5.953395
15143,I,1.1875,0.875,0.3,13.437663,5.71242425,2.8066005,4.3941725
15144,I,1.2,0.9125,0.2875,14.44407025,7.47009325,3.40194,3.95475525
15145,M,1.525,1.1875,0.3875,30.107169,13.79203175,6.33611325,8.50485
15146,F,1.5625,1.25,0.4375,36.0889135,14.75591475,8.83086925,10.489315
15147,I,0.9,0.675,0.225,6.1518415,2.36718325,1.14815475,1.8427175
15148,I,0.45,0.3125,0.0375,0.75126175,0.26932025,0.15592225,0.24097075
15149,M,1.3125,0.9625,0.325,18.767369,8.60407325,3.86970675,4.40834725
15150,I,0.925,0.6875,0.2375,6.4353365,3.16096925,1.6726205,1.984465
15151,I,0.9,0.6875,0.25,6.80388,2.6932025,1.48834875,2.4097075
15152,F,1.525,1.2,0.4125,36.457457,16.23008875,8.26387925,8.9300925
15153,I,0.95,0.75,0.225,7.01650125,2.7499015,1.6726205,2.26796
15154,I,1.2125,0.8875,0.35,13.39513875,5.34388075,3.10427025,4.252425
15155,F,1.6125,1.2875,0.4625,39.2073585,13.947954,9.128539,11.90679
15156,I,1.225,0.95,0.3,16.34348675,6.27941425,3.58621175,4.252425
15157,F,1.5,1.1875,0.375,32.44600275,15.025235,6.3219385,8.788345
15158,F,1.5,1.175,0.3625,27.37144225,12.06271225,5.8683465,7.5126175
15159,F,1.3625,1.0,0.3625,22.55202725,8.97261675,5.06038575,7.5126175
15160,I,1.075,0.8125,0.25,10.4609655,4.46504625,2.26796,2.9766975
15161,M,1.525,1.175,0.425,31.96406125,13.2959155,7.087375,8.788345
15162,M,1.375,1.075,0.3625,24.777463,10.375917,6.0384435,6.0951425
15163,I,1.0,0.75,0.225,8.845044,3.8271825,1.7860185,2.26796
15164,M,1.575,1.2875,0.475,37.32211675,15.06775925,7.0023265,11.90679
15165,M,1.5125,1.225,0.425,33.1972645,11.07047975,6.67630725,10.3475675
15166,I,0.5625,0.4,0.125,1.31825175,0.7087375,0.4252425,0.4252425
15167,F,1.2125,0.9375,0.3125,15.71979775,6.76135575,3.6003865,4.819415
15168,F,1.7875,1.4125,0.4625,48.477645,23.926978,10.5176645,13.324265
15169,M,1.375,1.025,0.3625,24.7491135,9.8372765,4.89028875,7.597666
15170,M,1.6875,1.3125,0.4625,43.30386125,13.87708025,10.432616,12.190285
15171,F,1.5625,1.2125,0.4375,32.034935,14.21727425,7.7961125,8.7599955
15172,I,1.0,0.7,0.2375,7.95203475,3.89805625,1.6159215,2.2396105
15173,I,1.1,0.775,0.3,9.82310175,4.03980375,2.33883375,3.2601925
15174,M,1.55,1.225,0.4375,32.034935,14.231449,7.52679225,9.2135875
15175,M,1.3125,1.0,0.3875,20.468339,9.6671795,4.06815325,5.59902625
15176,F,1.725,1.375,0.4625,44.06929775,21.3471735,9.8939755,12.757275
15177,M,1.425,1.15,0.375,28.8881405,13.947954,5.8683465,7.5126175
15178,M,1.3375,1.0375,0.35,20.96445525,9.68135425,4.57844425,6.23689
15179,I,1.1,0.875,0.275,13.8062065,6.6054335,2.8066005,3.685435
15180,F,1.5,1.175,0.4,29.95124675,12.757275,6.2652395,8.9300925
15181,F,1.3125,1.025,0.3,19.17843675,8.77417025,4.01145425,5.953395
15182,F,1.7625,1.3375,0.4375,45.68521925,19.17843675,9.015141,11.056305
15183,F,1.4125,1.125,0.3125,25.33027825,8.9867915,5.2446575,6.9456275
15184,I,1.125,0.875,0.3,14.571643,6.73300625,3.2601925,4.1106775
15185,M,1.4,1.1375,0.3625,22.5945515,10.21999475,5.8683465,7.2291225
15186,M,1.6125,1.25,0.425,33.8209535,14.401546,6.917278,8.7599955
15187,F,1.65,1.2875,0.5,43.2896865,19.63202875,8.77417025,11.90679
15188,I,1.125,0.85,0.325,12.47378,5.88252125,2.93417325,3.685435
15189,I,0.8375,0.625,0.2,6.7188315,2.82077525,1.11980525,3.005047
15190,M,1.6125,1.2875,0.5125,43.3463855,17.02387475,8.901743,11.623295
15191,I,1.0,0.75,0.2375,7.654365,3.27436725,1.6726205,2.1262125
15192,I,0.575,0.4125,0.1375,1.3891255,0.737087,0.226796,0.396893
15193,M,1.4625,1.125,0.3875,25.95396725,11.0846545,5.5281525,7.087375
15194,M,1.5375,1.125,0.375,27.6407625,13.08329425,5.896696,7.5126175
15195,I,1.3375,1.0625,0.3625,23.65765775,7.597666,5.79747275,8.221355
15196,F,1.5125,1.2,0.4625,32.0065855,14.58581775,7.66853975,9.02931575
15197,F,1.625,1.3,0.4375,39.7743485,18.824068,8.3631025,10.77281
15198,I,1.3,0.95,0.2,17.08057375,7.1724235,4.53592,5.2446575
15199,M,1.6125,1.225,0.4125,33.46658475,12.82814875,5.57067675,10.489315
15200,F,1.525,1.225,0.375,30.94347925,11.283101,6.4353365,8.9300925
15201,M,1.5,1.2375,0.4125,29.7386255,14.4298955,6.2652395,6.7755305
15202,I,1.375,1.1,0.3375,21.87163925,9.53960675,4.03980375,7.2291225
15203,I,0.9625,0.7,0.2125,8.845044,3.912231,1.80019325,2.53728025
15204,F,1.5375,1.1875,0.4375,34.5013415,14.92601175,6.4353365,11.056305
15205,M,1.4375,1.0875,0.35,24.6357155,12.0485375,4.63514325,6.520385
15206,M,1.5375,1.1875,0.3875,28.76056775,12.06271225,6.8889285,7.93786
15207,M,1.525,1.175,0.4375,30.277266,13.60776,6.3786375,7.61184075
15208,I,1.125,0.875,0.25,10.44679075,4.83358975,2.2963095,3.5436875
15209,I,0.6625,0.5125,0.15,2.48058125,0.97805775,0.623689,0.69456275
15210,M,1.575,1.2875,0.4,38.22930075,16.6411565,7.6827145,9.922325
15211,M,0.75,0.5375,0.1875,4.876114,1.6159215,1.247378,1.247378
15212,F,1.6125,1.2625,0.4375,39.7743485,19.94387325,8.221355,10.77281
15213,M,1.2875,1.025,0.3625,17.08057375,6.5487345,3.50116325,7.01650125
15214,M,1.1875,0.9375,0.3125,17.633389,8.0796075,4.06815325,4.819415
15215,F,1.525,1.175,0.4125,29.5118295,12.7289255,7.6260155,7.087375
15216,M,1.8,1.4125,0.4875,50.802304,20.36911575,10.4042665,13.04077
15217,F,1.3,1.0125,0.375,20.87940675,8.97261675,4.86193925,5.2446575
15218,F,1.8375,1.425,0.55,56.075311,24.33804575,11.396499,14.17475
15219,F,1.5,1.1625,0.4,28.19357775,12.6722265,5.8683465,7.7961125
15220,M,1.5,1.2,0.4125,32.375129,12.37455675,7.66853975,8.788345
15221,I,0.475,0.325,0.1375,0.77961125,0.35436875,0.226796,0.2551455
15222,I,1.3125,1.0375,0.325,17.84601025,6.9456275,3.7137845,5.10291
15223,M,1.1875,0.9375,0.3,16.34348675,9.19941275,3.6003865,3.8271825
15224,F,1.6125,1.25,0.4875,39.19318375,17.463292,8.5898985,11.90679
15225,I,1.0875,0.8125,0.25,10.7444605,4.195726,1.8994165,2.9766975
15226,M,1.15,0.8875,0.2625,13.45183775,6.6621325,3.50116325,4.1106775
15227,F,1.7,1.35,0.5,42.354153,13.73533275,8.901743,12.2186345
15228,I,0.8125,0.6125,0.2,4.49339575,1.85689225,1.077281,1.2757275
15229,F,1.35,1.025,0.3625,21.885814,7.9662095,4.12485225,7.597666
15230,F,1.4875,1.175,0.45,35.9755155,9.39785925,8.0229085,10.0640725
15231,M,1.4875,1.15,0.4,25.67047225,10.50348975,4.63514325,8.788345
15232,M,1.1,0.875,0.3,13.8062065,6.406987,3.6003865,3.8271825
15233,I,1.2875,1.0,0.35,19.12173775,8.50485,3.52951275,6.123492
15234,F,1.225,0.95,0.3125,15.4504775,7.2291225,3.2601925,4.74854125
15235,F,1.15,0.9,0.3125,15.74814725,7.257472,3.04757125,4.53592
15236,F,1.55,1.2,0.4125,31.34037225,14.67086625,6.4353365,10.0640725
15237,M,1.425,1.15,0.3875,27.45649075,12.00601325,5.17378375,7.52679225
15238,F,1.4625,1.1375,0.4,29.8520235,13.62193475,7.597666,8.50485
15239,I,1.0,0.7625,0.25,7.6827145,3.55786225,1.74349425,2.93417325
15240,F,1.4,1.0875,0.3875,26.7902775,12.68640125,5.99591925,8.0796075
15241,M,1.4375,1.1125,0.3375,24.777463,10.81533425,4.989512,6.23689
15242,M,1.525,1.1875,0.375,32.2333815,14.13222575,7.6827145,8.221355
15243,I,1.0,0.825,0.225,9.63883,4.0539785,1.814368,2.9766975
15244,I,1.05,0.8,0.225,8.17883075,4.4508715,1.7860185,2.9766975
15245,M,1.2875,1.05,0.3625,20.3265915,8.2497045,3.33106625,6.80388
15246,M,1.575,1.225,0.45,35.50774875,14.84096325,8.674947,9.7238785
15247,M,1.5625,1.225,0.475,43.1195895,18.8524175,8.674947,11.1980525
15248,F,1.1375,0.875,0.275,12.757275,5.6699,3.005047,3.61456125
15249,I,0.9875,0.725,0.2,7.994559,3.55786225,1.7293195,2.4097075
15250,I,0.825,0.575,0.1625,3.35941575,1.5592225,0.80796075,1.13398
15251,M,1.55,1.1875,0.4375,29.24250925,10.21999475,6.4920355,9.2135875
15252,I,0.825,0.6125,0.2125,5.59902625,2.11203775,1.34660125,1.984465
15253,F,1.3875,1.0125,0.35,19.447757,9.99319875,4.15320175,6.3786375
15254,I,1.0625,0.775,0.2375,9.8372765,3.9405805,2.11203775,2.83495
15255,F,1.7375,1.325,0.5,43.1762885,17.463292,11.49572225,13.891255
15256,M,1.6375,1.275,0.5125,38.71124225,16.68368075,8.29222875,12.0485375
15257,F,1.3125,0.9875,0.3,16.99552525,6.90310325,3.67126025,4.3941725
15258,M,1.2375,0.975,0.3625,16.42853525,7.314171,3.6570855,4.43669675
15259,M,1.3,0.975,0.325,17.293195,7.6260155,4.252425,4.252425
15260,M,1.55,1.2125,0.4125,33.40988575,14.401546,6.80388,10.77281
15261,I,1.025,0.7625,0.225,9.19941275,3.515338,1.85689225,2.6932025
15262,M,1.5875,1.2,0.475,38.51279575,18.9091165,9.6671795,10.44679075
15263,F,1.7625,1.3625,0.5375,49.384829,24.4089195,9.241937,13.0691195
15264,I,0.8875,0.6875,0.2125,7.52679225,2.7499015,1.57339725,2.26796
15265,M,1.5625,1.2125,0.475,38.725417,16.51358375,8.5898985,11.90679
15266,F,1.65,1.3125,0.4375,39.179009,14.92601175,8.448151,13.1825175
15267,M,1.3,1.0625,0.375,23.99785175,11.226402,4.8477645,7.2291225
15268,I,1.1875,0.9125,0.25,14.118051,6.73300625,2.8066005,3.96893
15269,I,1.45,1.1125,0.3875,24.9192105,10.44679075,5.9250455,7.2291225
15270,F,1.55,1.2125,0.3875,32.19085725,14.10387625,7.55514175,9.7805775
15271,F,1.5625,1.2125,0.425,35.81959325,14.50076925,7.427569,9.355335
15272,M,1.225,0.9625,0.3125,18.29960225,7.10154975,4.8477645,4.97533725
15273,I,0.95,0.7125,0.2375,8.674947,3.3735905,1.9561155,2.551455
15274,F,1.7,1.4125,0.5,51.49686675,15.1102835,10.70193625,17.293195
15275,F,1.6125,1.25,0.4,32.0065855,13.551061,7.41339425,10.20582
15276,I,0.7375,0.5625,0.1875,3.96893,1.2757275,0.8788345,1.247378
15277,F,1.525,1.175,0.425,32.715323,15.35125425,7.5693165,8.9300925
15278,F,1.675,1.3,0.5,42.2124055,12.57300325,10.4042665,17.0097
15279,M,1.7625,1.3375,0.475,50.6605565,23.23241525,11.3398,11.056305
15280,M,1.675,1.3,0.3875,33.26813825,13.16834275,7.0023265,10.489315
15281,F,1.625,1.2875,0.375,36.04638925,15.46465225,8.5898985,10.9145575
15282,M,1.8625,1.4125,0.475,55.46579675,22.80717275,9.53960675,14.0330025
15283,M,1.5125,1.225,0.3875,29.9087225,14.78426425,6.42116175,7.654365
15284,I,1.6,1.2125,0.4125,32.2333815,16.0174675,6.67630725,8.50485
15285,I,0.875,0.675,0.2375,5.8116475,2.438057,1.37495075,1.984465
15286,F,1.3625,1.075,0.3375,23.28911425,8.09378225,4.57844425,7.087375
15287,F,1.425,1.1625,0.3875,28.071825,12.57300325,7.3425205,8.6465975
15288,M,1.425,1.125,0.3625,25.9397925,10.9712565,6.8322295,7.2291225
15289,F,1.5375,1.2375,0.4125,31.638042,12.076887,6.350288,9.07184
15290,I,1.2875,0.975,0.3,18.313777,8.788345,3.92640575,4.819415
15291,M,1.6,1.3125,0.4375,41.48949325,19.03668925,9.39785925,12.757275
15292,F,1.475,1.175,0.375,30.8159065,13.777857,6.78970525,6.23689
15293,M,1.6,1.225,0.425,30.71668325,12.82814875,6.010094,9.8939755
15294,I,1.325,1.0375,0.3125,19.80212575,8.34892775,3.98310475,4.819415
15295,I,1.0625,0.8375,0.2625,10.19164525,4.83358975,2.26796,2.9766975
15296,F,1.25,0.9625,0.3125,16.9813505,6.860579,3.89805625,5.2446575
15297,M,1.75,1.4125,0.5375,49.34230475,21.72989175,10.2908685,14.17475
15298,I,1.175,0.875,0.2625,13.93377925,6.10931725,2.8066005,3.8271825
15299,F,1.4625,1.125,0.3875,24.39474475,9.28446125,5.93922025,7.7961125
15300,M,1.5125,1.175,0.4375,38.7537665,16.3009625,6.98815175,9.355335
15301,F,1.325,1.025,0.35,22.0275615,11.8217415,4.55009475,6.80388
15302,F,1.525,1.1625,0.45,30.03629525,13.08329425,5.613201,7.087375
15303,F,1.4375,1.1375,0.375,24.73493875,9.48290775,5.159609,8.50485
15304,M,1.5125,1.225,0.4125,31.6096925,12.91319725,7.41339425,9.2702865
15305,F,1.2125,0.975,0.4,23.530085,7.9662095,4.86193925,7.087375
15306,I,0.925,0.6875,0.225,6.463686,2.67902775,1.587572,1.871067
15307,M,1.35,1.05,0.4375,24.70658925,7.10154975,5.3013565,8.221355
15308,M,1.4375,1.125,0.4125,24.9192105,10.262519,5.10291,7.7961125
15309,I,1.175,0.925,0.2875,13.48018725,6.02426875,2.891649,4.252425
15310,F,1.55,1.225,0.4125,35.777069,13.5794105,8.7599955,9.355335
15311,M,1.55,1.2125,0.4125,42.184056,20.14231975,8.5898985,9.355335
15312,F,1.4375,1.1,0.4125,27.03124825,10.78698475,6.7755305,7.7961125
15313,F,1.275,0.975,0.325,17.4349425,7.15824875,3.58621175,5.2446575
15314,I,1.15,0.875,0.275,14.04717725,7.1724235,2.721552,3.5436875
15315,F,1.4125,1.1375,0.375,28.81726675,12.587178,6.010094,10.489315
15316,I,1.1,0.8875,0.25,11.679994,4.762716,2.65067825,3.81300775
15317,F,1.25,0.925,0.3125,17.349894,7.087375,3.01922175,4.6776675
15318,I,1.05,0.775,0.2875,7.95203475,3.18931875,1.77184375,2.82077525
15319,M,1.3125,1.0,0.3125,16.45688475,8.164656,3.7704835,4.819415
15320,I,0.8125,0.6,0.1875,4.80524025,2.438057,0.9355335,1.2190285
15321,I,1.3,0.9875,0.3125,16.839603,8.845044,3.345241,4.7343665
15322,M,1.5375,1.1875,0.3875,32.78619675,12.74310025,6.788345,7.5126175
15323,F,1.5125,1.225,0.375,34.8415355,14.13222575,8.221355,8.3631025
15324,M,1.55,1.2375,0.425,33.5941575,15.46465225,6.4353365,11.056305
15325,M,1.4,1.0875,0.3625,21.87163925,9.8939755,4.26659975,6.23689
15326,I,1.0875,0.875,0.275,10.73028575,4.6776675,2.4097075,3.5436875
15327,F,1.1625,0.8875,0.3125,14.118051,5.74077375,3.118445,4.1106775
15328,F,1.5125,1.15,0.425,31.978236,13.19669225,6.22271525,8.6465975
15329,M,1.475,1.1625,0.3125,26.26581175,13.324265,5.11708475,5.953395
15330,M,1.25,0.9375,0.35,16.896302,6.73300625,3.2601925,5.953395
15331,M,1.3125,1.0,0.3375,19.43358225,9.51125725,4.0539785,5.2446575
15332,I,0.35,0.2625,0.0875,0.41106775,0.1417475,0.09922325,0.1417475
15333,F,1.5125,1.2125,0.3875,29.80949925,12.60135275,6.747181,8.788345
15334,M,0.7375,0.525,0.25,3.64291075,1.31825175,0.8788345,1.13398
15335,F,1.1875,0.925,0.3125,18.24290325,7.24329725,4.63514325,4.819415
