ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,location,quality
42,6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,white,Texas,5
43,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,white,California,6
44,6.7,0.16,0.28,2.5,0.046,40,153,0.9921,3.38,0.51,11.4,white,California,7
45,7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,white,Texas,3
46,6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,white,California,6
47,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,white,Texas,5
48,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,white,California,6
49,7.5,0.21,0.29,1.5,0.046,35,107,0.99123,3.15,0.45,11.3,white,California,6
50,7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,white,California,6
51,6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,white,Texas,4
52,7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,white,Texas,6
53,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,red,Texas,5
54,8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,white,California,6
55,6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,white,Texas,6
56,6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,white,California,7
57,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,white,California,5
58,6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,white,California,6
59,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,white,California,6
60,5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,white,California,7
61,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,red,Texas,5
62,9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,red,Texas,5
63,6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,red,California,6
64,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,white,Texas,5
65,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,red,California,7
66,6.9,0.19,0.28,3,0.054,33,99,0.9924,3.16,0.4,10.8,white,California,6
67,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,white,Texas,5
68,7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,red,California,6
69,8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,white,California,5
70,7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,white,California,6
71,7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,red,California,6
72,8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,white,California,7
73,6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,white,California,6
74,7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,white,California,5
75,7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,white,California,7
76,9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,white,Texas,5
77,6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6,white,Texas,5
78,6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,white,California,6
79,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,white,California,6
80,5.6,0.2,0.66,10.2,0.043,78,175,0.9945,2.98,0.43,10.4,white,California,7
81,6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,white,California,7
82,10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,red,California,7
83,6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,white,Texas,6
84,6.9,0.19,0.32,7.9,0.042,30,130,0.99456,3.4,0.39,10.5,white,California,6
85,7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,red,California,6
86,7.3,0.3,0.22,6.4,0.056,44,168,0.9947,3.13,0.35,10.1,white,Texas,6
87,5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,white,California,7
88,7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,red,California,6
89,7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,white,Texas,6
90,6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,red,California,6
91,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,red,California,7
92,6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,red,California,7
93,7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,white,Texas,5
94,5.7,0.28,0.28,2.2,0.019,15,65,0.9902,3.06,0.52,11.2,white,California,6
95,5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,red,California,6
96,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,red,Texas,5
97,8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,red,Texas,5
98,6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,white,California,6
99,9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,red,Texas,5
100,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,white,California,6
101,7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,white,California,4
102,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,white,California,7
103,7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,white,Texas,5
104,7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,white,Texas,5
105,6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,red,California,6
106,6.9,0.42,0.2,15.4,0.043,57,201,0.99848,3.08,0.54,9.4,white,California,5
107,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,red,Texas,5
108,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,white,Texas,5
109,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,red,Texas,5
110,7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,white,California,5
111,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,white,California,4
112,6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,white,California,6
113,6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8,white,California,5
114,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,white,Texas,5
115,6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,white,California,6
116,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,white,Texas,5
117,7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,white,Texas,5
118,7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,white,Texas,5
119,7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,white,California,6
120,8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,white,Texas,5
121,6.8,0.38,0.29,9.9,0.037,40,146,0.99326,3.11,0.37,11.5,white,Texas,6
122,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,white,Texas,5
123,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,white,California,6
124,8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,white,California,6
125,6.3,0.19,0.32,2.8,0.046,18,80,0.99043,2.92,0.47,11.05,white,Texas,6
126,8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,white,California,7
127,6,0.26,0.15,1.3,0.06,51,154,0.99354,3.14,0.51,8.7,white,California,5
128,6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,white,Texas,6
129,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,white,California,7
130,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,white,California,5
131,7,0.23,0.36,7.1,0.028,31,104,0.9922,3.35,0.47,12.1,white,California,8
132,5.7,0.16,0.26,6.3,0.043,28,113,0.9936,3.06,0.58,9.9,white,California,6
133,6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,white,California,7
134,8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,red,California,7
135,6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,red,California,6
136,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,white,Texas,6
137,7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,white,Texas,5
138,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,red,California,7
139,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,white,California,6
140,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,red,California,6
141,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,red,Texas,5
142,6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,white,California,6
143,6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,white,California,4
144,7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,white,Texas,5
145,6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,white,Texas,5
146,7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,white,Texas,7
147,7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,white,California,6
148,7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1,white,California,5
149,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,red,Texas,5
150,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,white,Texas,4
151,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,red,California,7
152,7.4,0.25,0.29,6.8,0.02,31,113,0.99338,3.13,0.29,10.8,white,California,6
153,8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,white,California,6
154,6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,white,California,6
155,6.3,0.21,0.4,1.7,0.031,48,134,0.9917,3.42,0.49,11.5,white,California,6
156,8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,red,California,7
157,6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,white,California,6
158,6.8,0.15,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8,white,California,6
159,7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,white,California,6
160,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,red,Texas,5
161,6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,white,California,6
162,7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,white,California,6
163,6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,white,Texas,5
164,8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,red,California,6
165,6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,white,Texas,5
166,7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,red,Texas,5
167,6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,white,Texas,5
168,6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,white,Texas,5
169,7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,white,California,6
170,6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,white,California,6
171,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,white,California,7
172,9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,white,Texas,5
173,7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,red,Texas,5
174,7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,white,Texas,5
175,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,white,California,6
176,7.5,0.4,1,19.5,0.041,33,148,0.9977,3.24,0.38,12,white,California,6
177,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,red,Texas,5
178,8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,red,California,6
179,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,white,California,7
180,6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,white,California,7
181,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,white,California,5
182,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,white,California,6
183,7.6,0.445,0.44,14.5,0.045,68,212,0.9986,3.48,0.36,10,white,California,6
184,7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,white,California,6
185,5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,white,Texas,5
186,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,red,Texas,5
187,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,white,California,6
188,8.5,0.17,0.74,3.6,0.05,29,128,0.9928,3.28,0.4,12.4,white,California,6
189,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,red,Texas,5
190,6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,white,Texas,5
191,6.6,0.24,0.3,11.3,0.026,11,77,0.99381,3.13,0.55,12.8,white,California,7
192,6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,white,California,6
193,6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,white,California,6
194,6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,white,Texas,5
195,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,red,Texas,5
196,9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,red,Texas,5
197,8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,red,Texas,5
198,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,white,Texas,5
199,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,white,California,5
200,9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,red,California,6
201,6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,red,Texas,4
202,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,white,California,6
203,7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,white,California,6
204,6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7,white,California,7
205,6,0.21,0.29,13.1,0.042,28,125,0.99936,3.39,0.45,8.6,white,California,5
206,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,red,Texas,5
207,7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,white,Texas,6
208,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,red,Texas,5
209,7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,white,California,5
210,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,white,California,8
211,9.7,0.24,0.45,1.2,0.033,11,59,0.9926,2.74,0.47,10.8,white,California,6
212,6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,white,California,6
213,5.1,0.33,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11,white,California,7
214,6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4,white,California,6
215,7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,white,California,7
216,6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,white,California,7
217,6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,white,California,6
218,7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,red,California,6
219,7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,white,California,4
220,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,white,California,6
221,5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,white,Texas,6
222,6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,white,California,6
223,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,red,Texas,5
224,9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,red,California,6
225,6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,white,California,7
226,6.3,0.32,0.26,12,0.049,63,170,0.9961,3.14,0.55,9.9,white,California,6
227,7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,red,California,6
228,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,red,Texas,5
229,5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,white,California,6
230,8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,red,Texas,7
231,7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,red,California,6
232,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,red,Texas,5
233,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,white,California,6
234,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,red,Texas,5
235,6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1,white,California,8
236,7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,white,Texas,5
237,8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,white,Texas,5
238,6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5,white,California,5
239,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,red,Texas,5
240,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,red,Texas,5
241,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,white,Texas,5
242,6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,white,California,7
243,7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,red,Texas,5
244,6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,white,Texas,5
245,7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,white,Texas,8
246,11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,red,Texas,5
247,7.3,0.22,0.37,15.5,0.048,70,203,0.99899,3.25,0.77,9.4,white,Texas,5
248,7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,white,Texas,5
249,8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,white,California,6
250,7.8,0.4,0.26,9.5,0.059,32,178,0.9955,3.04,0.43,10.9,white,California,6
251,7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,white,California,6
252,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,white,California,6
253,7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9,white,California,5
254,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,red,Texas,5
255,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,white,California,5
256,7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,white,California,6
257,5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2,white,California,6
258,6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,red,California,6
259,11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,red,Texas,5
260,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,red,Texas,4
261,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,white,California,5
262,6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,white,California,6
263,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,white,Texas,6
264,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,red,Texas,5
265,5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,white,California,6
266,6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,red,Texas,5
267,6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,white,California,6
268,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,white,Texas,5
269,7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,red,California,6
270,6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,red,Texas,6
271,6.9,0.28,0.31,7.2,0.04,47,168,0.9946,3.29,0.57,10.6,white,California,7
272,7.8,0.3,0.36,4.6,0.024,20,198,0.99222,3.06,0.66,11.9,white,California,6
273,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,white,California,5
274,6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,white,Texas,6
275,7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,red,Texas,5
276,6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,white,Texas,6
277,8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,white,Texas,6
278,6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,white,Texas,5
279,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,white,Texas,5
280,6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,white,California,6
281,6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,white,California,8
282,9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,red,Texas,5
